PR SBJ  Arg0 null junk
ADV ADVRB  ArgM_ADV null junk
NUM NPREMOD null null junk
N OBJ  Arg1 نفر§n-13075 role
V PREDEP null null junk
CONJ VCONJ null null junk
PREP ADVRB  ArgM_ADV null junk
N ADVRB  ArgM_ADV null no
PR MOZ null نفر§n-13075 role
ADV ADVRB  null null junk
N SBJ  Arg1 null role
N MOS  Arg2 نفر§n-13075 role
ADJ NPOSTMOD null نفر§n-13075 role
CONJ AJCONJ null null junk
ADJ AJCONJ null نفر§n-13075 role
PR MOZ null null junk
V ROOT null null junk
PUNC PUNC null null junk

N SBJ  Arg1 نفر§n-13075 role
PREP AJPP null null junk
ADJ NPREMOD null null junk
N AJPP null نفر§n-13075 role
PREP POSDEP null null junk
N POSDEP null نفر§n-13075 role
ADJ MOS  Arg2 مشخصه§n-12756 role_state
V ROOT null null junk
PUNC PUNC null null junk

PR SBJ  Arg0 null junk
PREP ADVC  Arg2 مشخصه§n-12756 no
NUM NPREMOD null null junk
N POSDEP null دوره_زماني§n-12603 time
N NVE null رخداد§n-13136 role_action
V ROOT null null junk
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
N SBJ  Arg0 نفر§n-13075 role
NUM NPREMOD null null junk
N ADVC  Arg1 دوره_زماني§n-12603 no
ADV ADVRB  ArgM_EXT null junk
V ROOT null null junk
SUBR NCL null null junk
NUM NPREMOD null null junk
N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
PUNC PUNC null null junk
N OBJ  Arg1 خصوصيت_رواني§n-12725 no
V PRD null رخداد§n-13136 role_action
PUNC PUNC null null junk

N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
PREP VPP  Arg4 جا§n-12733 location
N POSDEP null نفر§n-13075 role
V PREDEP null null junk
CONJ VCONJ null null junk
V ROOT null null junk
PREP ADVRB  ArgM_LOC null junk
N ADVRB  ArgM_LOC null no
N MOZ null خصوصيت_رواني§n-12725 no
V VCL null رخداد§n-13136 role_action
SUBR VCL  Arg1 null junk
NUM NPREMOD null null junk
N SBJ  Arg0 شيء§n-12703 static_object
CONJ NCONJ null null junk
N NCONJ null null static_object
CONJ NCONJ null null junk
N NCONJ null null static_object
PREP NPP  Arg3 null no
PR POSDEP null نفر§n-13075 role
N NVE null رخداد§n-13136 static_object_state
V PRD null رخداد§n-13136 role_action
PUNC PUNC null null junk

N SBJ  Arg0 null role
N SBJ  Arg0 null role
N MOZ null نفر§n-13075 role
SUBR NCL null null junk
N OBJ  Arg1 خصوصيت_رواني§n-12725 no
N MOZ null خصوصيت_رواني§n-12725 no
POSTP OBJ  Arg1 null junk
V PRD null رخداد§n-13136 no
PREP VPP  Arg3 null junk
PR POSDEP null null junk
V ROOT null null junk
SUBR VCL  Arg1 null junk
N OBJ  Arg1 خصوصيت_رواني§n-12725 no
PR MOZ null null junk
POSTP OBJ  Arg1 null junk
PREP ADVRB  ArgM_GOL null junk
N POSDEP null نفر§n-13075 role
PR MOZ null نفر§n-13075 role
ADJ MOS  Arg2 null no
V VCL null رخداد§n-13136 role_action

SUBR ROOT  ArgM_ADV null junk
PREP ADVRB  ArgM_GOL null junk
PR POSDEP null نفر§n-13075 role
ADJ MOS  Arg2 مشخصه§n-12756 role_intent
V PRD null رخداد§n-13136 role_action
SUBR VCL  Arg1 null junk
PREP ADVRB  ArgM_TMP null junk
N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
N MOS  Arg2 مشخصه§n-12756 role_state
ADJ NPOSTMOD null مشخصه§n-12756 role_state
V PRD null رخداد§n-13136 no
SUBR NCL null null junk
N SBJ  Arg0 null junk
N OBJ  Arg3 رخداد§n-13136 no
PR MOZ null نفر§n-13075 role
POSTP OBJ  Arg3 null junk
N NVE null شيء§n-12703 no
V PRD null رخداد§n-13136 role_action

CONJ VCONJ null null junk
N SBJ  Arg0 خصوصيت_رواني§n-12725 no
N SBJ  Arg0 خصوصيت_رواني§n-12725 no
PR PREDEP null null junk
POSTP OBJ  Arg1 null junk
PREP VPP  Arg3 null junk
N VPP  Arg3 null role_state
V VCONJ null رخداد§n-13136 no
CONJ VCONJ null null junk
N OBJ  Arg1 خصوصيت_رواني§n-12725 no
N MOZ null خصوصيت_رواني§n-12725 no
POSTP OBJ  Arg1 null junk
PREP VPP  Arg3 null junk
PR POSDEP null null junk
V ROOT null رخداد§n-13136 role_action
PUNC PUNC null null junk

ADV ADVRB  ArgM_ADV null junk
N SBJ  Arg1 خصوصيت_رواني§n-12725 no
N MOZ null رخداد§n-13136 role_action
N MOZ null نفر§n-13075 role
CONJ NCONJ null null junk
N NCONJ null null no
PR MOZ null null junk
N MOS  Arg2 مسبب§n-13036 no
V ROOT null null junk
SUBR NCL null null junk
N SBJ  Arg0 نفر§n-13075 role
N OBJ  Arg1 مشخصه§n-12756 role_state
CONJ NCONJ null null junk
N NCONJ null null role_state
ADJ NPOSTMOD null مشخصه§n-12756 no
PREP NPP  ArgM_LOC null junk
N NPP  ArgM_LOC null no
N MOZ null نفر§n-13075 role
N NVE null رخداد§n-13136 no
V PRD null null junk

CONJ VCONJ null null junk
V ROOT null رخداد§n-13136 no
SUBR VCL  Arg1 null junk
N OBJ  Arg1 اندازه§n-12768 time
ADJ NPOSTMOD null مشخصه§n-12756 role_state
V PRD null null junk
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
ADJ NPREMOD null null junk
N OBJ  Arg1 null no
POSTP OBJ  Arg1 null junk
V ROOT null رخداد§n-13136 role_action
PUNC PUNC null null junk

PREP ADVRB  ArgM_TMP null junk
ADJ NPREMOD null null no
N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
PREP VPP  Arg4 جا§n-12733 location
N POSDEP null نفر§n-13075 role
PR MOZ null null junk
V VCONJ null رخداد§n-13136 role_action
CONJ VCONJ null null junk
PREP VPP  Arg3 null junk
N VPP  Arg3 نفر§n-13075 role
V PREDEP null null junk
SUBR VCL  Arg1 null junk
N OBJ  Arg1 نفر§n-13075 role
POSTP OBJ  Arg1 null junk
N ADVRB  ArgM_COM رخداد§n-13136 role_intent
PR MOZ null null junk
PREP VPP  Arg4 null junk
N VPP  Arg4 جا§n-12733 location
V VCL null رخداد§n-13136 role_action
CONJ VCONJ null null junk
N SBJ  Arg0 نفر§n-13075 role
PREP NPP  Arg3 null junk
PR NPP  Arg3 نفر§n-13075 role
N NVE null رخداد§n-13136 no
ADJ NPOSTMOD null مشخصه§n-12756 role_intent
V ROOT null رخداد§n-13136 role_action
PUNC PUNC null null junk

PREP ADVRB  ArgM_TMP null no
PR POSDEP null null junk
SUBR NCL null null junk
N NVE null خصوصيت_رواني§n-12725 no
V PRD null null junk
N SBJ  Arg0 نفر§n-13075 role
PUNC PUNC null null junk
N OBJ  Arg1 نفر§n-13075 role
POSTP OBJ  Arg1 null junk
PREP VPP  Arg3 null junk
PR VPP  Arg3 نفر§n-13075 role
ADV ADVRB  Arg2 مشخصه§n-12756 role_intent
N NVE null null no
V VCL null رخداد§n-13136 role_action
PUNC PUNC null null junk
PREP VPP  Arg3 null junk
PR POSDEP null null junk
V ROOT null null junk
UNKNOWN ADVRB  ArgM_CAU null junk
PREP ADVRB  ArgM_ADV null no
N POSDEP null نفر§n-13075 role
PREP NPP  Arg3 null junk
PR POSDEP null null junk
N NVE null مشخصه§n-12756 role_emotion
V VCL null رخداد§n-13136 role_action
SUBR AJUCL  null null junk
PR PREDEP  Arg0 null junk
POSTP OBJ  Arg1 null junk
PREP VPP  Arg4 null junk
N VPP  Arg4 شيء§n-12703 location
V AJUCL null رخداد§n-13136 role_action
SUBR AJUCL  ArgM_CAU null junk
PREP ADVRB  ArgM_LOC null junk
N POSDEP null null junk
N NVE null رخداد§n-13136 role_intent
V PREDEP null null junk
CONJ VCONJ null null junk
PREP VPP  Arg3 null junk
N VPP  Arg3 null role_state
V AJUCL null رخداد§n-13136 role_action
PUNC PUNC null null junk

N ADVRB  ArgM_TMP null junk
SUBR NCL null null junk
PR SBJ  Arg0 نفر§n-13075 role
PR SBJ  Arg0 نفر§n-13075 role
PREP NPP  Arg3 null junk
N NPP  Arg3 نفر§n-13075 role
N NVE null مشخصه§n-12756 no
V PRD null null junk
N SBJ  Arg1 مشخصه§n-12756 role_emotion
PR MOZ null null junk
ADJ MOS  Arg2 مشخصه§n-12756 no
V PREDEP null null junk
CONJ VCONJ null null junk
N SBJ  Arg1 مشخصه§n-12756 role_emotion
PR MOZ null null junk
N MOS  Arg2 خصوصيت_رواني§n-12725 no
V VCONJ null رخداد§n-13136 role_action
CONJ VCONJ null null junk
PREP VPP  Arg3 null junk
N VPP  Arg3 مشخصه§n-12756 role_intent
V ROOT null رخداد§n-13136 role_action
PUNC PUNC null null junk

PR SBJ  Arg0 null junk
PREP ADVRB  ArgM_ADV null no
N POSDEP null رخداد§n-13136 role_state
PR MOZ null نفر§n-13075 role
V ROOT null null role_action
N NVE null رخداد§n-13136 no
V VCL null null junk
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
PREP ADVRB  ArgM_LOC null junk
N POSDEP null null junk
N MOZ null null location
PREP NPP  Arg3 null junk
N NPP  Arg3 خصوصيت_رواني§n-12725 no
N NVE null خصوصيت_رواني§n-12725 role_intent
V ROOT null null junk
PUNC PUNC null null junk

N SBJ  Arg0 نفر§n-13075 role
N SBJ  Arg0 نفر§n-13075 role
N SBJ  Arg0 نفر§n-13075 role
N OBJ  Arg1 شيء§n-12703 static_object
N OBJ  Arg1 شيء§n-12703 static_object
N MOZ null نفر§n-13075 role
POSTP OBJ  Arg1 null junk
POSTP OBJ  Arg1 null junk
SUBR NCL null null junk
PREP AJPP null null junk
N AJPP null هست§n-12706 static_object
