بعداز PREP ADVRB  ArgM_TMP null no
گرفتن N POSDEP null null junk
صندوق N MOZ null شيء§n-12703 static_object
از PREP NPP null null junk
آب N NPP null ماده§n-14032 static_object
فرعون N SBJ  Arg0 null role
درب N OBJ  Arg1 شيء§n-12703 no
آن PR MOZ null null junk
را POSTP OBJ  Arg1 null junk
گشود V VCONJ null رخداد§n-13136 role_action
و CONJ VCONJ null null junk
با PREP ADVRB  ArgM_MNR null junk
تعجب N ADVRB  ArgM_MNR خصوصيت_رواني§n-12725 role_state
ديد V ROOT null رخداد§n-13136 role_action
که SUBR VCL  Arg1 null junk
نوزادي N SBJ  Arg0 null role
درون N ADVC  ArgM_LOC null junk
ش PR MOZ null شيء§n-12703 static_object
نهفته‌است V PRD null رخداد§n-13136 no
. PUNC PUNC null null junk

هنگامي N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
که SUBR NCL null null junk
نگاه N SBJ  Arg0 null junk
آسيه N MOZ null null role
به PREP VPP  Arg3 null junk
کودک N VPP  Arg3 نفر§n-13075 role
افتاد V PRD null null role_action
محبت N OBJ  Arg1 مشخصه§n-12756 role_emotion
ش PR MOZ null null role
را POSTP OBJ  Arg1 null junk
جلب N NVE null null no
کرد V PREDEP null null junk
اما CONJ VCONJ null null junk
فرعون N SBJ  Arg1 null role
فرعون N SBJ  Arg0 null role
فرعون N SBJ  Arg0 null role
عصباني ADJ MOS  Arg2 مشخصه§n-12756 role_state
شد V PREDEP null null junk
و CONJ VCONJ null null junk
گفت V PREDEP null null junk
که SUBR VCL  Arg1 null junk
چرا UNKNOWN ADVRB  ArgM_CAU null junk
او PR SBJ  Arg1 null junk
کشته ADJ MOS  Arg2 مشخصه§n-12756 role_state
‌نشده‌است V PRD null null no
و CONJ VCONJ null null junk
دستور N OBJ  Arg1 رخداد§n-13136 role_intent
کشته‌شدن N MOZ null رخداد§n-13136 role_intent
او PR MOZ null null junk
را POSTP OBJ  Arg1 null junk
صادر ADJ NVE null null no
کرد V PREDEP null null junk
اما CONJ VCONJ null null junk
آسيه N SBJ  Arg1 null role
مانع N MOS  Arg2 null role_state
اين ADJ NPREMOD null null junk
کار N MOZ null مشخصه§n-12756 no
شد V PREDEP null null junk
و CONJ VCONJ null null junk
با PREP ADVRB  ArgM_MNR null junk
اصرار N ADVRB  ArgM_MNR رخداد§n-13136 role_state
او PR PREDEP null null junk
را POSTP OBJ  Arg1 null junk
به PREP ADVRB  ArgM_ADV null junk
فرزندي N ADVRB  ArgM_ADV رابطه§n-13628 role
قبول N NVE null رخداد§n-13136 role_state
کردند V ROOT null null junk
. PUNC PUNC null null junk

طولي N NVE null دوره_زماني§n-12603 time
نکشيد V ROOT null رخداد§n-13136 no
که SUBR VCL  Arg1 null junk
موسي N SBJ  Arg1 نفر§n-13075 role
گرسنه ADJ MOS  Arg2 مشخصه§n-12756 role_state
‌شد V PRD null رخداد§n-13136 no
. PUNC PUNC null null junk

در PREP ADVRB  ArgM_TMP null junk
اين ADJ NPREMOD null null junk
حين N ADVRB  ArgM_TMP null no
دختري N SBJ  Arg0 نفر§n-13075 role
گفت V ROOT null null junk
که SUBR VCL  Arg1 null junk
من PR SBJ  Arg0 null junk
مادري N OBJ  Arg1 نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
مي‌شناسم V PRD null رخداد§n-13136 role_action
که SUBR NCL null null junk
حاضر ADJ MOS  Arg2 null junk
است V PRD null null junk
اين ADJ NPREMOD null null junk
کودک N OBJ  Arg1 نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
شير N NVE null ماده§n-14032 no
دهد V ACL null null junk
، PUNC PUNC null null junk

مامورين N SBJ  Arg0 نفر§n-13075 role
مادر N OBJ  Arg1 نفر§n-13075 role
موسي N MOZ null نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
به PREP VPP  Arg4 null junk
کاخ N VPP  Arg4 ساختار§n-12875 location
بردند V ROOT null رخداد§n-13136 role_action
وسپس SUBR VCL null null no
موسي N SBJ  Arg0 نفر§n-13075 role
با PREP ADVRB  ArgM_MNR null junk
اشتياق N ADVRB  ArgM_MNR مشخصه§n-12756 role_emotion
مشغول ADJ MOS  Arg2 مشخصه§n-12756 role_state
خوردن N NEZ null رخداد§n-13136 role_action
شير N MOZ null ماده§n-14032 no
مادر N MOZ null نفر§n-13075 role
شد V PRD null null junk
. PUNC PUNC null null junk

بدين‌ترتيب ADV ADVRB  ArgM_ADV null no
خدا N SBJ  Arg0 خصوصيت_رواني§n-12725 no
به PREP NPP  Arg3 null junk
وعده N NPP  Arg3 خبر§n-12766 no
اش PR MOZ null null junk
که SUBR NCL null null junk
برگرداندن N MOS  Arg2 رخداد§n-13136 role_action
موسي N MOZ null نفر§n-13075 role
به PREP NPP null null junk
مادر N NPP null نفر§n-13075 role
ش PR MOZ null نفر§n-13075 role
بود V PRD null null junk
عمل N NVE null null junk
کرد V ROOT null null junk
. PUNC PUNC null null junk

زماني N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
که SUBR NCL null null junk
موسي N SBJ  Arg1 نفر§n-13075 role
موسي N SBJ  Arg1 نفر§n-13075 role
موسي N SBJ  Arg0 نفر§n-13075 role
موسي N SBJ  Arg1 نفر§n-13075 role
به PREP VPP  Arg3 null junk
دوران N VPP  Arg3 دوره_زماني§n-12603 time
رشد N MOZ null رخداد§n-13136 role_state
و CONJ NCONJ null null junk
بلوغ N NCONJ null دوره_زماني§n-12603 role_state
رسيد V PREDEP null null junk
و CONJ VCONJ null null junk
از PREP AJPP null null junk
قدرت N AJPP null مشخصه§n-12756 role_emotion
جسماني ADJ NPOSTMOD null مشخصه§n-12756 role_state
برخوردار ADJ MOS  Arg2 null junk
شد V PRD null null junk
در PREP ADVRB  null null junk
يکي‌از ADJ NPREMOD null null no
روزها N ADVRB  null دوره_زماني§n-12603 time
کاخ N OBJ  Arg1 ساختار§n-12875 location
فرعون N MOZ null null role
را POSTP OBJ  Arg1 null junk
ترک N NVE null رخداد§n-13136 role_intent
کرد V PREDEP null null junk
و CONJ VCONJ null null junk
وارد ADJ MOS  Arg2 null no
شهر N NEZ null جا§n-12733 location
شد V ROOT null null junk
. PUNC PUNC null null junk

موسي N SBJ  Arg1 نفر§n-13075 role
موسي N SBJ  Arg0 نفر§n-13075 role
از PREP AJPP null null junk
اين ADJ NPREMOD null null junk
حادثه N AJPP null رخداد§n-13136 no
ناراحت ADJ MOS  Arg2 مشخصه§n-12756 role_emotion
شد V PREDEP null null junk
و CONJ VCONJ null null junk
توبه N NVE null مشخصه§n-12756 role_intent
کرد V ROOT null null junk
پس SUBR VCL null null junk
خدا N SBJ  Arg0 خصوصيت_رواني§n-12725 no
توبه N OBJ  Arg1 مشخصه§n-12756 role_intent
اش PR MOZ null null junk
را POSTP OBJ  Arg1 null junk
پذيرفت V PRD null رخداد§n-13136 role_action
. PUNC PUNC null null junk

ازطرف PREP ADVRB  null null no
ديگر ADJ POSDEP null null junk
گزارش N SBJ  Arg0 رخداد§n-13136 no
ديروز N MOZ null null junk
نيز ADV ADVRB  ArgM_ADV null junk
به PREP VPP  Arg4 null junk
فرعون N VPP  Arg4 null role
رسيده V VCONJ null رخداد§n-13136 no
و CONJ VCONJ null null junk
او PR SBJ  Arg0 null junk
تصميم N NVE null خصوصيت_رواني§n-12725 role_intent
به PREP NPP  Arg3 null junk
قتل N NPP  Arg3 رخداد§n-13136 role_intent
موسي N MOZ null نفر§n-13075 role
گرفته‌بود V ROOT null رخداد§n-13136 role_action
. PUNC PUNC null null junk

در PREP ADVRB  ArgM_TMP null junk
اين ADJ NPREMOD null null junk
حين N ADVRB  ArgM_TMP null no
يکي‌از ADJ NPREMOD null null no
مشاورين N SBJ  Arg1 نفر§n-13075 role
مشاورين N SBJ  Arg0 نفر§n-13075 role
فرعون N MOZ null null role
که SUBR NCL null null junk
از PREP AJPP null null junk
ظلم N AJPP null رخداد§n-13136 role_intent
او PR MOZ null null junk
بيزار ADJ MOS  Arg2 مشخصه§n-12756 role_state
بود V PRD null null junk
قضيه N OBJ  Arg1 رخداد§n-13136 no
را POSTP OBJ  Arg1 null junk
به PREP VPP  Arg3 null junk
موسي N VPP  Arg3 نفر§n-13075 role
گفت V ROOT null null junk
، PUNC PUNC null null junk

موسي N SBJ  Arg1 نفر§n-13075 role
موسي N SBJ  Arg1 نفر§n-13075 role
در PREP ADVRB  ArgM_LOC null junk
اين ADJ NPREMOD null null junk
سفر N ADVRB  ArgM_LOC دوره_زماني§n-12603 time
از PREP AJPP null null junk
زاد‌و‌توشه N AJPP null null static_object
محروم ADJ MOS  Arg2 مشخصه§n-12756 role_state
بود V PREDEP null null junk
اما CONJ VCONJ null null junk
از PREP AJPP null null junk
نعمت N AJPP null null no
توکل N MOZ null خصوصيت_رواني§n-12725 role_state
و CONJ NCONJ null null junk
ايمان N NCONJ null خصوصيت_رواني§n-12725 role_state
به PREP NPP null null junk
خدا N NPP null خصوصيت_رواني§n-12725 no
بهره‌مند ADJ MOS  Arg2 مشخصه§n-12756 role_state
بود V ROOT null null junk
. PUNC PUNC null null junk

موسي N SBJ  Arg1 نفر§n-13075 role
چندين ADJ NPREMOD null null junk
روز N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
در PREP MOS  Arg2 null junk
راه N POSDEP null null junk
بود V PREDEP null null junk
و CONJ VCONJ null null junk
پس‌از PREP ADVRB  ArgM_TMP null no
8 NUM NPREMOD null null junk
روز N ADVRB null null junk
راه N NE null null junk
رفتن N POSDEP null رخداد§n-13136 role_action
و CONJ NCONJ null null junk
استفاده N POSDEP null null junk
از PREP NPP null null junk
گياهان N NPP null جان_دار§n-10393 static_object
به PREP VPP  Arg4 null junk
مدين N VPP  Arg4 null location
رسيد V ROOT null null junk
. PUNC PUNC null null junk

موسي N SBJ  Arg1 نفر§n-13075 role
پس‌از PREP ADVRB  ArgM_TMP null no
صحبت N POSDEP null رخداد§n-13136 role_intent
با PREP NPP null null junk
آن‌ها PR NPP null null role
متوجه ADJ MOS  Arg2 مشخصه§n-12756 role_state
‌شد V ROOT null رخداد§n-13136 role_action
که SUBR ACL null null junk
آن‌ها PR SBJ  Arg0 null role
آن‌ها PR SBJ  Arg0 null role
پدر N OBJ  Arg1 نفر§n-13075 role
پيري ADJ NPOSTMOD null مشخصه§n-12756 role_state
دارند V PREDEP null null junk
و CONJ VCONJ null null junk
به‌جاي PREP ADVRB  ArgM_ADV null no
او PR POSDEP null null junk
گوسفندچراني ADJ MOS  Arg2 null role_state
مي‌کنند V PRD null null role_action
. PUNC PUNC null null junk

موسي N SBJ  Arg0 نفر§n-13075 role
دلوي N OBJ  Arg1 null static_object
را POSTP OBJ  Arg1 null junk
پر ADJ MOS  Arg2 مشخصه§n-12756 no
از PREP AJPP null null junk
آب N AJPP null ماده§n-14032 static_object
نمود V VCONJ null رخداد§n-13136 role_action
و CONJ VCONJ null null junk
گوسفندان N OBJ  Arg1 جانور§n-12239 dynamic_object
آن‌ها PR MOZ null null role
را POSTP OBJ  Arg1 null junk
سيراب ADJ MOS  Arg2 مشخصه§n-12756 role_intent
نمود V ROOT null null role_action
وسپس SUBR VCL null null no
براي PREP ADVRB  ArgM_PRP null junk
استراحت N POSDEP null null role_intent
به‌زير PREP VPP  Arg4 null location
سايه N POSDEP null مشخصه§n-12756 no
درختي N MOZ null جان_دار§n-10393 static_object
رفت V PRD null null junk
، PUNC PUNC null null junk

دختران N SBJ  Arg0 نفر§n-13075 role
دختران N SBJ  Arg0 نفر§n-13075 role
به‌نزد PREP VPP  Arg4 جا§n-12733 location
پدر N POSDEP null نفر§n-13075 role
رفته V PREDEP null null junk
و CONJ VCONJ null null junk
ماجرا N OBJ  Arg1 رخداد§n-13136 no
را POSTP OBJ  Arg1 null junk
تعريف N NVE null رخداد§n-13136 role_intent
نمودند V ROOT null رخداد§n-13136 role_action
. PUNC PUNC null null junk

پيرمرد N SBJ  Arg0 نفر§n-13075 role
دختر N OBJ  Arg1 نفر§n-13075 role
ش PR MOZ null نفر§n-13075 role
صفورا N APP null null role
را POSTP OBJ  Arg1 null junk
مامور ADJ MOS  Arg2 مشخصه§n-12756 role_intent
کرد V ROOT null null junk
تا SUBR VCL null null junk
موسي N OBJ  Arg1 نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
براي PREP ADVRB  ArgM_PRP null junk
قدرداني N POSDEP null مشخصه§n-12756 role_intent
به‌نزد PREP VPP  Arg4 جا§n-12733 location
ش PR POSDEP null نفر§n-13075 role
بياورد V PRD null null junk
. PUNC PUNC null null junk

موسي N SBJ  Arg0 نفر§n-13075 role
موسي N SBJ  Arg0 نفر§n-13075 role
دعوت N OBJ  Arg1 خبر§n-12766 role_intent
را POSTP OBJ  Arg1 null junk
پذيرفت V VCONJ null رخداد§n-13136 role_action
و CONJ VCONJ null null junk
به PREP VPRT null null junk
راه N POSDEP null null junk
افتادند V ROOT null null role_action
، PUNC PUNC null null junk

موسي N SBJ  Arg0 نفر§n-13075 role
( PUNC PUNC null null junk
ع ARAB POSDEP null null no
) PUNC PUNC null null junk
ماجراي N OBJ  Arg1 رخداد§n-13136 no
خود PR MOZ null null junk
را POSTP OBJ  Arg1 null junk
براي PREP NPP  Arg3 null junk
شعيب N POSDEP null نفر§n-13075 role
( PUNC PUNC null null junk
ع ARAB POSDEP null null no
) PUNC PUNC null null junk
تعريف N NVE null رخداد§n-13136 role_intent
کرد V ROOT null null junk
، PUNC PUNC null null junk

موسي N SBJ  Arg0 نفر§n-13075 role
موسي N SBJ  Arg0 نفر§n-13075 role
موسي N SBJ  Arg0 نفر§n-13075 role
درخواست N OBJ  Arg1 خبر§n-12766 role_action
شعيب N MOZ null نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
پذيرفت V VCONJ null رخداد§n-13136 role_action
و CONJ VCONJ null null junk
با PREP NPP  Arg3 null junk
صفورا N NPP  Arg3 null role
ازدواج N NVE null رخداد§n-13136 role_intent
نمود V VCONJ null رخداد§n-13136 role_action
و CONJ VCONJ null null junk
به PREP NPP  Arg3 null junk
زندگي N NPP  Arg3 مشخصه§n-12756 role_intent
خود PR MOZ null null junk
در PREP NPP null null junk
مدين N NPP null null location
ادامه N NVE null رابطه§n-13628 role_intent
داد V ROOT null null junk
. PUNC PUNC null null junk

او PR SBJ  Arg0 null junk
پس‌از PREP ADVRB  null null no
10 NUM NPREMOD null null junk
سال N MESU null دوره_زماني§n-12603 time
سکونت N POSDEP null رخداد§n-13136 role_intent
در PREP NPP null null junk
مدين N NPP null null location
در PREP ADVRB  ArgM_TMP null junk
آخرين ADJ NPREMOD null مشخصه§n-12756 no
سال N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
به PREP VPP  Arg3 null junk
شعيب N VPP  Arg3 نفر§n-13075 role
گفت V ROOT null null junk
که SUBR VCL  Arg1 null junk
مي‌خواهم V PRD null رخداد§n-13136 role_action
به PREP VPP  Arg3 null junk
مصر N VPP  Arg3 گروه§n-12753 location
بازگردم V VCL null رخداد§n-13136 role_action
. PUNC PUNC null null junk

شعيب N SBJ  Arg0 نفر§n-13075 role
او PR PREDEP null null junk
را POSTP OBJ  Arg1 null junk
به PREP NPP  Arg3 null junk
اتاقي N NPP  Arg3 شيء§n-12703 location
راهنمايي N NVE null رخداد§n-13136 role_intent
کرد V ROOT null null junk
که SUBR NCL null null junk
چند UNKNOWN NPREMOD null null junk
عصا N SBJ  Arg1 شيء§n-12703 static_object
از PREP NPP null null junk
پيامبران N NPP null نفر§n-13075 role
گذشته ADJ NPOSTMOD null null junk
در PREP MOS  Arg2 null junk
آنجا PR POSDEP null null junk
بود V PRD null null junk
که SUBR NCL null null junk
ناگهان ADV ADVRB  ArgM_ADV null junk
عصاي N SBJ  Arg0 شيء§n-12703 static_object
عصاي N SBJ  Arg0 شيء§n-12703 static_object
نوح N MOZ null نفر§n-13075 role
و CONJ NCONJ null null junk
ابراهيم N NCONJ null نفر§n-13075 role
